policy,request_type,avg_total_latency_s,avg_ftl_s,avg_wait_time_s,requests
FCFS,Text-only,15864.379097,15864.300428,15863.571108,7704
FCFS,Light multimodal,16824.300317,16824.247026,16823.394779,8372
FCFS,Heavy multimodal,16609.76351,16609.682212,16601.339875,3924
Static Modality Priority,Text-only,4.437762,4.359093,3.629773,7704
Static Modality Priority,Light multimodal,3045.945205,3045.891914,3045.039667,8372
Static Modality Priority,Heavy multimodal,23305.212301,23305.131004,23296.788666,3924
HWSP,Text-only,24696.008527,24695.929858,24695.200537,7704
HWSP,Light multimodal,34252.228955,34252.175664,34251.323417,8372
HWSP,Heavy multimodal,11509.898701,11509.817404,11501.475066,3924
